번호,도서명,글,그림,출판사,비고
30,너는 어떤 씨앗이니,글 최숙희,그림 최숙희,책읽는곰,씨앗이 씨앗이 바람에 흩날리던 씨앗이_거친들에 뿌리내려 민들레로 피었네_씨앗이 씨앗이 쪼글쪼글 못생긴 씨앗이_온마을에 향기가득 수수꽃다리로 피었네
29,너는 기적이야,글 최숙희,그림 최숙희,책읽는곰,네가 처음 세상에 온 날+ 해도 너를 맞으러_어둠속에서 얼굴을 내밀었지_네가 내게 왔다는 것+ 그건 기적이었어.
28,나는 개다,글 백희나,그림 백희나,책읽는곰,슈퍼집 방울이네 넷째로 태어난 구슬이는_엄마 젖을 떼자마자 동동이네 집으로 보내진다._가끔은 엄마와 형제들이 그리울 때도 있지만+_구슬이에게는 가족을 돌보는 일이 더 중요하다.
27,알사탕,글 백희나,그림 백희나,책읽는곰,동네 문방구에서 알사탕을 한 봉지 샀다._크기도 모양도 색깔도 가지가지인_알사탕 한 알을 골라 입에 넣었더니+_원래는 들을 수 없던 마음의 소리가 들린다.
26,이상한 엄마,글 백희나,그림 백희나,책읽는곰,호호가 열이 심해 조퇴를 했대요._엄마는 회사에 있고 집에는 아무도 없는데_어쩌면 좋죠? 누구라도 좋으니 호호랑_엄마를 좀 도와주세요+ 네!
25,콧구멍을 탈출한 코딱지 코지,글 허정윤,그림 허정윤,RHK주니어,난 서영이 콧구멍 속에 살던 코딱지 코지야._멋진 바깥세상을 기대하고 힘들게 콧구멍_밖으로 나왔는데+ 서영이가 날 보자마자_하늘로 날려버렸지.
24,첫 눈을 기다리는 코딱지 코지,글 허정윤,그림 허정윤,RHK주니어,코지는 아직 한 번도 눈을 본 적이 없어요._눈이 얼마나 아름다운지 보고 싶었어요_하지만 눈이 오려면 기다려야 할 것 같아요._코지는 언제쯤 첫눈을 만날 수 있을까요?
23,코딱지 코지,글 허정윤,그림 허정윤,RHK주니어,서영이의 왼쪽 콧구멍 깊숙한 곳에_뾰족뾰족 코털이 무성한 코털 숲이 있어요._그곳에 코딱지 코지가 살아요.
22,네가 만들어갈 경이로운 인생들,글 에밀리 윈필드 마틴,그림 에밀리 윈필드 마틴,레드스톤,내가 널 볼 때마다 너도 날 바라보지._난 네가 얼마나 멋진 사람이 될지_정말 궁금해.
21,42가지마음의색깔1,글 크리스티나 누녜스 페레이라,그림 크리스티나 누녜스 페레이라,레드스톤,포근함은 보드랍고 따듯해서 편안한_기분이야. 우리는 동물이나 사람+_물건 때로는 따듯한 겨울바람에서도_포근함을 느낄 수 있어.
21,42가지마음의색깔2,글 크리스티나 누녜스 페레이라,그림 크리스티나 누녜스 페레이라,레드스톤,포근함은 보드랍고 따듯해서 편안한_기분이야. 우리는 동물이나 사람+_물건 때로는 따듯한 겨울바람에서도_포근함을 느낄 수 있어.
16,엄마랑 뽀뽀,글 김동수,그림 김동수,보림,귀염둥이 우리아가 엄마랑 뽀뽀_재롱둥이 우리아가 엄마랑 뽀뽀_잠꾸러기 우리아가 엄마랑 뽀뽀
17,응가하자 끙끙,글 최민오,그림 최민오,보림,"응가하자. 끙끙+ 끙끙+ 끄응끙"_"이야+ 나왔다. 야호!"
18,숲으로 간 몬스터,글 스티키몬스터랩,그림 스티키몬스터랩,보림,“안녕+ 나는 외톨이 몬스터야+”_외톨이 몬스터가 달빛을 타고 내려 왔어요._숲에 사는 친구들을 만나기 위해서예요._이곳은 특징이 다른 동물들이 살고 있어요.
19,감기걸린날,글 김동수,그림 김동수,보림,"눈을 떠 보니 내 앞에 오리가 말했다._너무 추우니 너의 깃털을 우리에게 주겠니?_나는 깃털들을 오리에게 심어 주었다._오리들이랑 썰매도 타고 숨바꼭질도 했다."
20,뿅가맨,글 윤지희,그림 윤지희,보림,"소풍을 가려고 버스에 오르는 준이의 눈에_사람들이 뿅가맨으로 변하기 시작합니다!_운전하는 사람들이+ 선생님이+ 친구들이_하나둘 뿅가맨이 되었습니다."
11,두드려보아요,글 안나 클라라 티돌름,그림 안나 클라라 티돌름,사계절,작은 집이 있어요. 문이 여러개 보이네요._그 안에서 누가 무엇을 하고 있나_우리 한번 두드려 보아요. 똑! 똑!
12,감기 걸린 물고기,글 박정섭,그림 박정섭,사계절,똘똘 뭉친 물고기를 먹으려 만든 소문!_"얘들아 빨간물고기가 감기에 걸렸대~!"_이렇게 소문 때문에 쫓겨난 물고기들은_입을 쩍 벌린 아귀에게 잡아 먹혔어요!
13,간질간질,글 서현 저,그림 서현 저,사계절,머리가 간지러워 무심코 긁었는데+_머리카락이 떨어져 내가 되었어요._새로 만들어진 일곱명의 나!_또 다른 나는 춤을 추기 시작해요
14,커졌다,서현,서현,사계절,커져 보자! 구름을 뚫고 우주까지!_자꾸자꾸 커지면 얼마나 좋을까?_상상이 현실이 되는 만족감!
15,봉지공주와 봉투왕자,글 이영경,그림 이영경,사계절,비닐봉지와 종이봉투가 사랑에 빠졌다._상상에서 나온 재미를 바탕으로_삶을 보는 다른 시선을 느껴보세요.
